stock_type,name,variant_name,karat_color,stock_code,location_name,dept,party,vendor_party,owner_party,pcs,total_weight,net_weight,pg_weight,metal_rate,bom_variant_name,stone_pcs,stone_weight,stone_rate,stock_value,labour_value,wastage
COMPANY STOCK,REGREPREGREG-354,REGREPREGREG-354-1,"18,YELLOW",SREP50002,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,Sanjay Samanta-113,Sanjay Samanta-113,1,0.65,0.65,0.494,0,,0,0,0,0,150,10
,,,,,,FG-HIMSHW,,,,0,0,0,0,,AG-18-YELLOW,0,0.65,0,0,0,
COMPANY STOCK,REGREPREGREG-126,REGREPREGREG-126-1,"22,YELLOW",SREP42415,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,Sanjay Samanta,,1,1.32,1.32,1.2144,0,,0,0,0,0,150,10
,,,,,,FG-HIMSHW,,,,0,0,0,0,,AG-22-YELLOW,0,1.32,0,3806.80413,0,
COMPANY STOCK,REGMALREGREG-94,REGMALREGREG-94-1,"22,YELLOW",SMAL9166,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,GOLD STRINGS,,1,68.06,46.43,42.7156,0,,0,0,0,0,250,10
,,,,,,FG-HIMSHW,,,,0,0,0,0,3200,AG-22-YELLOW,0,46.43,0,128146.8,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,RBBMIXMIXREDMIX,74,45.75,650,7320,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,PRLMIXMIXMIXMIX,1,62.4,350,9984,0,
COMPANY STOCK,REGMSCREGREG-41,REGMSCREGREG-41-1,"22,YELLOW",SMSC32092,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,P.MANOHARLAL JEWELLERS & EXPORTERS,P.MANOHARLAL JEWELLERS & EXPORTERS,1,2.12,2.12,1.9504,0,,0,0,0,0,150,10
,,,,,,FG-HIMSHW,,,,0,0,0,0,,AG-22-YELLOW,0,2.12,0,0,0,
COMPANY STOCK,KSUERNSTDREG-19,KSUERNSTDREG-19-1,"22,YELLOW",SERN25535,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,MACALUCKSHMI JEWELLERS,,1,3.74,3.658,3.36536,0,,0,0,0,0,0,10
,,,,,,FG-HIMSHW,,,,0,0,0,0,,AG-22-YELLOW,0,3.658,0,11507.79365,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,RBPMIXMIXREDMIX,4,0.41,1500,615,0,
COMPANY STOCK,REGMSCREGREG-3,REGMSCREGREG-3-1,"22,YELLOW",SMSC11531,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,GAUTAM KUMAR SONI,,1,5.98,5.98,5.5016,0,,0,0,0,0,1,10
,,,,,,FG-HIMSHW,,,,0,0,0,0,3200,AG-22-YELLOW,0,5.98,0,16504.8,0,
COMPANY STOCK,CBTCHNREGREG-515,CBTCHNREGREG-515-1,"22,YELLOW",SCHN28012,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,MACALUCKSHMI JEWELLERS,,1,12.461,12.461,11.46412,0,,0,0,0,0,0,10
,,,,,,FG-HIMSHW,,,,0,0,0,0,,AG-22-YELLOW,1,12.461,0,39201.37143,0,
COMPANY STOCK,PLNMSRREG2LN-58,PLNMSRREG2LN-58-1,"22,YELLOW",SMSR9006,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,Singar Santosh R,,1,7.98,6.87,6.3204,0,,0,0,0,0,150,10
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,BLBMIXMIXMIXMIX,346,5.55,50,55.5,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,3200,AG-22-YELLOW,0,6.87,0,18961.2,0,
COMPANY STOCK,TMCNECREGREG-263,TMCNECREGREG-263-1,"22,YELLOW",SNEC10759,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,Mamraj Mussadilal Jewellers,,1,85.09,84.26,77.5192,0,,0,0,0,0,250,10
,,,,,,FG-HIMSHW,,,,0,0,0,0,3200,AG-22-YELLOW,0,84.26,0,232557.6,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,RBPMIXMIXREDMIX,11,4.15,1500,41.5,0,
COMPANY STOCK,TMCJMKREGREG-365,TMCJMKREGREG-365-1,"22,YELLOW",SJMK36039,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,VINATI JEWELLERS,,1,17.013,16.783,15.44036,0,,0,0,0,0,250,10
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,RBPMIXMIXREDMIX,10,1.15,1500,977.5,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,,AG-22-YELLOW,0,16.783,0,52195.13,0,
COMPANY STOCK,TMCJMKREGREG-424,TMCJMKREGREG-424-1,"22,YELLOW",SJMK44800,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,VINATI JEWELLERS,,1,10.91,10.77,9.9084,0,,0,0,0,0,250,10
,,,,,,FG-HIMSHW,,,,0,0,0,0,,AG-22-YELLOW,0,10.77,0,2794.26627,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,RBPMIXMIXREDMIX,2,0.7,1500,0,0,
COMPANY STOCK,TMCCKRREGREG-160,TMCCKRREGREG-160-1,"22,YELLOW",SCKR12340,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,Jai Gulab Dev Jewellers,,1,71.5,69.44,63.8848,0,,0,0,0,0,250,10
,,,,,,FG-HIMSHW,,,,0,0,0,0,3200,AG-22-YELLOW,0,69.44,0,191654.4,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,RBPMIXMIXREDMIX,80,10.3,1500,1030,0,
COMPANY STOCK,REGMSCREGREG-123,REGMSCREGREG-123-1,"22,YELLOW",SMSC41044,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Mamraj Mussadilal Jewellers,,1,0.481,0.001,0.00092,0,,0,0,0,0,0,10
,,,,,,FG-BHSHW,,,,0,0,0,0,0,EMEMIXMIXGREENMIX,1,2.4,1500,8400,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,,AG-22-YELLOW,0,0.001,0,3.14038,0,
COMPANY STOCK,REGMSCREGREG-122,REGMSCREGREG-122-1,"18,YELLOW",SMSC41231,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,SUKUMAR MONDAL (14),,1,3.57,2.194,1.66744,0,,0,0,0,0,550,10
,,,,,,FG-BHSHW,,,,0,0,0,0,0,ONXMIXMIXGREENMIX,1,3.12,1500,4680,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,,AG-18-YELLOW,0,2.194,0,6582,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,OTHMIXMIXMIXMIX,1,3.76,1500,5640,0,
