stone_bom_variant,stone_type,stone_shape,stone_quality,stone_color,wt_range,indian_rate_carat,usa_rate_carat
DIAPRIVSHI0.085 TO 0.125 (III),Diamond,Princess,VS,HI,0.085 TO 0.125 (III),72000,108000
DIAPEAVSHI0.13 TO 0.175 (IV),Diamond,Pear,VS,HI,0.13 TO 0.175 (IV),72000,108000
DIAMAQVSHI0.075 TO 0.08 (II),Diamond,Marquise,VS,HI,0.075 TO 0.08 (II),72000,108000
DIABAGVVS-VSFG0.075 TO 0.08,Diamond,Baguette,VVS-VS,FG,0.075 TO 0.08,72000,108000
ROSMIXVVSEF0.000 to 0.056 (I),Diamond,,VVS,EF,0.000 TO 0.056 (I),72000,108000
DIAPRIVVS - VSFG0.000 TO 0.056,Diamond,Princess,VVS-VS,FG,0.000 TO 0.056,72000,108000
DIARNDVVSEFG0.000 TO 0.056(I),Diamond,Round,VVS,EFG,0.000 TO 0.056(I),72000,108000
DIABAGVVSFG0.000 TO 0.056 (I),Diamond,Baguette,VVS,FG,0.000 TO 0.056 (I),72000,108000
DIARNDVVSFG0.085 TO 0.129,Diamond,Round,VVS,FG,0.085 TO 0.129,72000,108000
DIAPEAVVSFG0.085 TO 0.129,Diamond,Pear,VVS,FG,0.085 TO 0.129,72000,108000
DIAMAQVVSFG0.085 TO 0.129,Diamond,Marquise,VVS,FG,0.085 TO 0.129,72000,108000
DIARNDVVSFG0.075 TO 0.084,Diamond,Round,VVS,FG,0.075 TO 0.084,72000,108000
DIAMRQVSFGH0.075 TO 0.08 (II),Diamond,Marquise,VS,FGH,0.075 TO 0.08 (II),72000,108000
DIARNDVS - SIIJ0.000 TO 0.056 (I),Diamond,Round,VS-SI,IJ,0.000 TO 0.056 (I),72000,108000
DIARNDVSFGH0.000 TO 0.056(I),Diamond,Round,VS,FGH,0.000 TO 0.056(I),72000,108000
DIAMAQSI3EF0.000 TO 0.056,Diamond,Marquise,SI3,EF,0.000 TO 0.056,72000,108000
DIAPEAIJ-VSEF0.000 TO 0.056 (I),Diamond,Pear,IJ-VS,EF,0.000 TO 0.056 (I),72000,108000
DIARNDVVSEF0.00 TO 0.056,Diamond,Round,VVS,EF,0.00 TO 0.056,72000,108000
SLTPEAVVS1GH0.30 TO 0.39,Solitaire_Diamond,Pear,VVS1,GH,0.30 TO 0.39,150000,225000
DIAPRIVSFGH  0.075 TO 0.08 (II),Diamond,Princess,VS,FGH,  0.075 TO 0.08 (II),72000,108000
DIAMRQVS-SIIJ0.075 TO 0.084 (II),Diamond,Marquise,VS-SI,IJ,0.075 TO 0.084 (II),72000,108000
DIAPEAVS-SIIJ  0.13 TO 0.175(IV),Diamond,Pear,VS-SI,IJ,  0.13 TO 0.175(IV),72000,108000
SLTRNDVVS2I02.00-03.00 CTS,Solitaire_Diamond,Round,VVS2,I,02.00-03.00 CTS,150000,225000
DIAMELVSEF0.057 TO 0.074,Diamond,,VS,EF,0.057 TO 0.074,72000,108000
SLTRNDVVS1E  0.50 TO 0.69(IX),Solitaire_Diamond,Round,VVS1,E,  0.50 TO 0.69(IX),150000,225000
SLTFNYVVS2H1.00 TO 1.49,Solitaire_Diamond,,VVS2,H,1.00 TO 1.49,150000,225000
DIAMAQVSIIJ0.075 TO 0.084,Diamond,Marquise,VS-SI,IJ,0.075 TO 0.084,72000,108000
DIAMRQVSIIJ0.000 TO 0.056,Diamond,Marquise,VS-SI,IJ,0.000 TO 0.056,72000,108000
DIAPEAVSIIJ0.085 TO 0.125(III),Diamond,Pear,VS-SI,IJ,0.085 TO 0.125(III),72000,108000
DIAPEAVSIIJ0.13 TO 0.175(IV),Diamond,Pear,VS-SI,IJ,0.13 TO 0.175(IV),72000,108000
DIAPEAVSIIJ0.000 TO 0.056,Diamond,Pear,VS-SI,IJ,0.000 TO 0.056,72000,108000
DIAPRIVSIIJ0.085 TO 0.13,Diamond,Princess,VS-SI,IJ,0.085 TO 0.13,72000,108000
DIAPRIVSIIJ0.000 TO 0.056 (I),Diamond,Princess,VS-SI,IJ,0.000 TO 0.056 (I),72000,108000
DIARNDVSIIJ0.000 TO 0.056 (I),Diamond,Round,VS-SI,IJ,0.000 TO 0.056 (I),72000,108000
DIARVVSEFEWD1,Diamond,Round,VVS,EF Excellent,2,72000,108000
SLTFNYMIXMIX0.70 TO 0.99,Solitaire_Diamond,,,,0.70 TO 0.99,150000,225000
DIAMUTMIXMIX0.13 TO 0.179,Diamond,,,,0.13 TO 0.179,72000,108000
CUSRNDVVSEFMIX,Diamond,,,,,72000,108000
DIAPEASIHI0.085 TO 0.0125,Diamond,Pear,SI,HI,0.085 TO 0.0125,72000,108000
DIAMLEVVS-VSFGH0.057 to 0.074,Diamond,,VVS-VS,FGH,0.057 TO 0.074,72000,108000
SLTRNDVVS1E0.40 TO 0.49 (VIII),Solitaire_Diamond,Round,VVS1,E,0.40 TO 0.49 (VIII),150000,225000
DIAROSMIXMIX0.000 to 0.056,Diamond,ROSE CUT,,,0.000 to 0.056,72000,108000
SLTRNDVVS1IAbove 2 Cts,Solitaire_Diamond,Round,VVS1,I,Above 2 Cts,150000,225000
DIAPEAVVSEF0.075 - 0.084 (II),Diamond,Pear,VVS,EF,0.075 - 0.084 (II),72000,108000
SLTFNYVVS2H01.01- 2 CT,Solitaire_Diamond,,VVS2,H,01.01- 2 CT,150000,225000
DIAMAQVS - SIIJ0.085 TO 0.13,Diamond,Marquise,VS-SI,IJ,0.085 TO 0.13,72000,108000
DIAPEAVS - SIIJ0.000 TO 0.056 (I),Diamond,Pear,VS-SI,IJ,0.000 TO 0.056 (I),72000,108000
DIAPRIVS - SIIJ0.000 TO 0.056 (I),Diamond,Princess,VS-SI,IJ,0.000 TO 0.056 (I),72000,108000
DIAFANVSIIJ0.000 TO 0.056,Diamond,,VS-SI,IJ,0.000 TO 0.056,72000,108000
DIAFANVSIIJ0.13 TO 0.175,Diamond,,VS-SI,IJ,0.13 TO 0.175,72000,108000
DIARNDVSIIJ0.000 TO 0.056(I),Diamond,Round,VS-SI,IJ,0.000 TO 0.056(I),72000,108000
DIARNDVSIIJ0.135 TO 0.175(IV),Diamond,Round,VS-SI,IJ,0.135 TO 0.175(IV),72000,108000
DIAOVLIJ-VSSI0.000 to 0.056 (I),Diamond,Oval,IJ-VS,SI,0.000 TO 0.056 (I),72000,108000
DIARNDIJ-VSSI0.000 to 0.056 (I),Diamond,Round,IJ-VS,SI,0.000 TO 0.056 (I),72000,108000
DIAOVLIJ-VSSI0.075 TO 0.08 (II),Diamond,Oval,IJ-VS,SI,0.075 TO 0.08 (II),72000,108000
DIAPEAIJ-VSSI0.13 TO 0.175 (IV),Diamond,Pear,IJ-VS,SI,0.13 TO 0.175 (IV),72000,108000
DIAPEAIJ-VSSI0.085 TO 0.125 (III),Diamond,Pear,IJ-VS,SI,0.085 TO 0.125 (III),72000,108000
DIAOVLIJ-VSSI0.085 TO 0.125 (III),Diamond,Oval,IJ-VS,SI,0.085 TO 0.125 (III),72000,108000
DIAPEAIJ-VSSI0.000 to 0.056 (I),Diamond,Pear,IJ-VS,SI,0.000 TO 0.056 (I),72000,108000
DIABAGVVSEF0.075 TO 0.08 (II),Diamond,Baguette,VVS,EF,  0.075 TO 0.08 (II),72000,108000
FMRRNDVVSEF0.18 TO 0.22 (V),Forevermark,Round,VVS,EF,0.18 TO 0.22 (V),90000,135000
DIAPEAVSFGH0.085 - 0.125(III),Diamond,Pear,VS,FGH,0.085 - 0.125(III),72000,108000
DIARNDVVSEF0.085 TO 0.125 (III),Diamond,Round,VVS,EF,0.085 TO 0.125 (III),72000,108000
DIAMRQVVS-VSFG0.075 TO 0.086 (II),Diamond,Marquise,VVS-VS,FG,0.075 TO 0.086 (II),72000,108000
DIAPEAVS-SIHI  0.23 TO 0.29 (VI),Diamond,Pear,VS-SI,HI,  0.23 TO 0.29 (VI),72000,108000
DIAPEAVS-SIHI0.085 TO 0.0134 (III),Diamond,Pear,VS-SI,HI,0.085 TO 0.0134 (III),72000,108000
DIAPRIVS-SIHI  0.30 TO 0.39 (VII),Diamond,Princess,VS-SI,HI,  0.30 TO 0.39 (VII),72000,108000
DIAMAQVSFG0.075 TO 0.084,Diamond,Marquise,VS,FG,0.075 TO 0.084,72000,108000
DIAMRQVS-SIIJ0.075 TO 0.08 (II),Diamond,Marquise,VS-SI,IJ,0.075 TO 0.08 (II),72000,108000
SLTRNDVVS1F0.50 TO 0.69,Solitaire_Diamond,Round,VVS1,F,0.50 TO 0.69,150000,225000
CLRRNDMIXMIXMIX,Diamond,Round,,,,72000,108000
DIAMAQVSFG0.000 TO 0.056 (I),Diamond,Marquise,VS,FG,0.000 TO 0.056 (I),72000,108000
DIAPEAVSFGH  0.13 TO 0.175(IV),Diamond,Pear,VS,FGH,  0.13 TO 0.175(IV),72000,108000
DIARNDVVSEFWD3,Diamond,Round,VVS,EF,,72000,108000
DIAPEASIHI0.085 TO 0.125(III),Diamond,Pear,SI,HI,0.085 TO 0.125(III),72000,108000
