stone_bom_variant,stone_type,stone_shape,stone_quality,stone_color,wt_range,indian_rate_carat,usa_rate_carat,
31999,DIAMAQVS _ SIEF0.13 TO 0.175 (IV),Diamond,Marquise,VS _ SI,EF,0.13 TO 0.175 (IV),60000,66000
32000,DIAMAQVS_SIFGH0.000 to 0.056 (I),Diamond,Marquise,VS_SI,FGH,0.000 TO 0.056 (I),60000,66000
32001,DIAMAQVS_SIFGH0.085 TO 0.125,Diamond,Marquise,VS_SI,FGH,0.085 TO 0.125,60000,66000
32002,DIAMAQVSHI0.085 TO 0.125,Diamond,Marquise,VS,HI,0.085 TO 0.125,60000,66000
32003,DIAMAQVVS_VSGH0.075 TO 0.08,Diamond,Marquise,VVS_VS,GH,0.075 TO 0.08,60000,66000
32004,DIAMAQVVS_VSGH0.085 TO 0.125,Diamond,Marquise,VVS_VS,GH,0.085 TO 0.125,60000,66000
32005,DIAMAQVVS_VSGH0.085 TO 0.125(III),Diamond,Marquise,VVS_VS,GH,0.085 TO 0.125(III),60000,66000
32006,DIAMAQVVS_VSIJ0.075 TO 0.084,Diamond,Marquise,VVS_VS,IJ,0.075 TO 0.084,60000,66000
32007,DIAMAQVVS_VSIJ0.085 TO 0.129,Diamond,Marquise,VVS_VS,IJ,0.085 TO 0.129,60000,66000
32008,DIAMLEVVS _ VSHI0.057 TO 0.074,Diamond,Mix,VVS _ VS,HI,0.057 TO 0.074,60000,66000
32009,DIAMRQVS _ SIFG0.000 TO 0.056 (I),Diamond,Marquise,VS _ SI,FG,0.000 TO 0.056 (I),60000,66000
32010,DIAMRQVVS-VSIJ  0.085 TO 0.125 (III),Diamond,Marquise,VVS_VS,IJ,0.085 TO 0.125 (III),60000,66000
32011,DIAPEAIJ_VSIJ0.13 TO 0.175 (IV),Diamond,Pear,VS,IJ,0.13 TO 0.175 (IV),60000,66000
32012,DIAPEAVS_SIFGH0.085 to 0.13,Diamond,Pear,VS_SI,FGH,0.085 TO 0.13,60000,66000
32013,DIAPEAVS_SIIJ0.13 TO 0.175(IV),Diamond,Pear,VS_SI,IJ,0.13 TO 0.175(IV),60000,66000
32014,DIAPEAVSHI0.075 TO 0.08,Diamond,Pear,VS,HI,0.075 TO 0.08,60000,66000
32015,DIAPEAVSHI0.085 TO 0.0125,Diamond,Pear,VS,HI,0.085 TO 0.0125,60000,66000
32016,DIAPEAVVS _ VSEF01.01_2CT,Diamond,Pear,VVS _ VS,EF,01.01_2CT,60000,66000
32017,DIAPEAVVS _ VSFG0.075 TO 0.08 (II),Diamond,Pear,VVS_VS,FG,0.075 TO 0.08 (II),60000,66000
32018,DIAPEAVVS _ VSFGH0.000 TO 0.056 (I),Diamond,Pear,VVS _ VS,FGH,0.000 TO 0.056 (I),60000,66000
32019,DIAPEAVVS_VSFGH0.000 TO 0.056 (I),Diamond,Pear,VVS_VS,FGH,0.000 TO 0.056 (I),60000,66000
32020,DIAPEAVVS_VSFGH0.075 to 0.084,Diamond,Pear,VVS_VS,FGH,0.075 TO 0.084,60000,66000
32021,DIAPEAVVS_VSGH0.075 TO 0.080,Diamond,Pear,VVS_VS,GH,0.075 TO 0.080,60000,66000
32022,DIAPEAVVS_VSGH0.085 TO 0.125,Diamond,Pear,VVS_VS,GH,0.085 TO 0.125,60000,66000
32023,DIAPEAVVS_VSGH0.085 TO 0.125(III),Diamond,Pear,VVS_VS,GH,0.085 TO 0.125(III),60000,66000
32024,DIAPEAVVS_VSGH0.085 TO 0.134 (III),Diamond,Pear,VVS_VS,GH,0.085 TO 0.134 (III),60000,66000
32025,DIAPEAVVS_VSIJ0.085 TO 0.129,Diamond,Pear,VVS_VS,IJ,0.085 TO 0.129,60000,66000
32026,DIAPRIVS_SIFGH0.13 TO 0.175,Diamond,Princess,VS_SI,FGH,0.13 TO 0.175,60000,66000
32027,DIAPRIVVS_VSFGH0.085 TO 0.125 (III),Diamond,Princess,VVS_VS,FGH,0.085 TO 0.125 (III),60000,66000
32028,DIAPRIVVS_VSIJ0.13 TO 0.179,Diamond,Princess,VVS_VS,IJ,0.13 TO 0.179,60000,66000
32029,DIARNDVS_SIFGH0.085 TO 0.125,Diamond,Round,VS_SI,FGH,0.085 TO 0.125,60000,66000
32030,DIARNDVSHI0.085 TO 0.125,Diamond,Round,VS,HI,0.085 TO 0.125,64000,70400
32031,DIAFANVS_SIFGH0.000 TO 0.056,Diamond,Fancy,VS_SI,FGH,0.000 TO 0.056,61600,67760
32032,DIAFANVVS_VSIJ0.000 TO 0.056,Diamond,Fancy,VVS_VS,IJ,0.000 TO 0.056,61600,67760
32033,DIAPEAVS _ SIFG0.000 TO 0.056,Diamond,Pear,VS _ SI,FG,0.000 TO 0.056,61600,67760
32034,DIAPRIVVS_VSHI0.000 TO 0.056,Diamond,Princess,VVS_VS,HI,0.000 TO 0.056,61600,67760
32035,DIAMAQVS_SIIJ0.000 TO 0.056 (I),Diamond,Marquise,VS_SI,IJ,0.000 TO 0.056 (I),62000,68200
32036,DIAMAQVVS_VSFGH0.000 to 0.056 (I),Diamond,Marquise,VVS_VS,FGH,0.000 TO 0.056 (I),62000,68200
32037,DIAPEAVS_SIHI  0.23 TO 0.29 (VI),Diamond,Pear,VS_SI,HI,  0.23 TO 0.29 (VI),62000,68200
32038,DIAPEAVVS _ VSFG0.000 TO 0.056 (I),Diamond,Pear,VVS _ VS,FG,0.000 TO 0.056 (I),62000,68200
32039,DIAPRIVVS _ VSGH0.085 TO 0.125 (III),Diamond,Princess,VVS _ VS,GH,0.085 TO 0.125 (III),62000,68200
32040,DIAMAQVVS_VSGH0.000 TO 0.056,Diamond,Marquise,VVS_VS,GH,0.000 TO 0.056,63800,70180
32041,DIAPEAVS_SIFGH0.000 TO 0.056,Diamond,Pear,VS_SI,FGH,0.000 TO 0.056,63800,70180
32042,DIAPEAVVS_VSFG0.000 TO 0.056,Diamond,Pear,VVS_VS,FG,0.000 TO 0.056,63800,70180
32043,DIAPEAVVS_VSFGH0.000 TO 0.056,Diamond,Pear,VVS_VS,FGH,0.000 TO 0.056,63800,70180
32044,DIAFANVS  SIEF0.50 TO 0.69(IX),Diamond,Fancy,VS_SI,EF,0.50 TO 0.69(IX),64000,70400
32045,DIAFANVS_SIIJ0.18 TO 0.22,Diamond,Fancy,VS_SI,IJ,0.18 TO 0.22,64000,70400
32046,DIAFANVS_SIIJ0.18 TO 0.22 (V),Diamond,Fancy,VS_SI,IJ,0.18 TO 0.22 (V),64000,70400
32047,DIAFANVS_SIIJ0.50 TO 0.69 (IX),Diamond,Fancy,VS_SI,IJ,0.50 TO 0.69 (IX),64000,70400
32048,DIAFANVVS  VSEF0.50 TO 0.69(IX),Diamond,Fancy,VVS,EF,0.50 TO 0.69(IX),64000,70400
32049,DIAFANVVS _ VSFGMIX,Diamond,Fancy,VVS _ VS,FG,Mix,64000,70400
32050,DIAFANVVS_VSGH0.085 TO 0.125,Diamond,Fancy,VVS_VS,GH,0.085 TO 0.125,64000,70400
32051,DIAFANVVS_VSIJ0.000 to 0.056 (I),Diamond,Fancy,VVS_VS,IJ,0.000 TO 0.056 (I),64000,70400
32052,DIAFNYVS-SIIJ0.180 TO 0.220 (V),Diamond,Fancy,VS_SI,IJ,0.180 TO 0.220 (V),64000,70400
32053,DIAFNYVVS  VSGH  0.50 TO 0.69(IX),Diamond,Fancy,VVS,GH,0.50 TO 0.69(IX),64000,70400
32054,DIAFNYVVS_VSFGH0.000 TO 0.056 (I),Diamond,Fancy,VVS_VS,FGH,0.000 TO 0.056 (I),64000,70400
32055,DIAMAQVS_SIIJ0.18 TO 0.22,Diamond,Marquise,VS_SI,IJ,0.18 TO 0.22,64000,70400
32056,DIAMAQVVS _ VSFGMIX,Diamond,Marquise,VVS _ VS,FG,Mix,64000,70400
32057,DIAMAQVVS_VSFG0.000 TO 0.056 (I),Diamond,Marquise,VVS_VS,FG,0.000 TO 0.056 (I),64000,70400
32058,DIAMAQVVS_VSFG0.13 TO 0.175 (IV),Diamond,Marquise,VVS_VS,FG,0.13 TO 0.175 (IV),64000,70400
32059,DIAMAQVVS_VSFGMIX,Diamond,Marquise,VVS_VS,FG,Mix,64000,70400
32060,DIAMAQVVS_VSGH0.085 TO 0.0125,Diamond,Marquise,VVS_VS,GH,0.085 TO 0.0125,64000,70400
32061,DIAMAQVVS_VSGHI0.13 TO 0.175 (IV),Diamond,Marquise,VVS_VS,GHI,0.13 TO 0.175 (IV),64000,70400
32062,DIAMRQVVS _ VSFG0.085 TO 0.125,Diamond,Marquise,VVS _ VS,FG,0.085 TO 0.125,64000,70400
32063,DIAMRQVVS _ VSFGH0.000 TO 0.056 (I),Diamond,Marquise,VVS _ VS,FGH,0.000 TO 0.056 (I),64000,70400
32064,DIAMRQVVS _ VSHI0.085 TO 0.125 (III),Diamond,Marquise,VVS _ VS,HI,0.085 TO 0.125 (III),64000,70400
32065,DIAPEAVS _ SIIJ  0.18 TO 0.22 (V),Diamond,Pear,VS _ SI,IJ,  0.18 TO 0.22 (V),64000,70400
32066,DIAPEAVS_SIFGH  0.085 TO 0.125(III),Diamond,Pear,VS_SI,FGH,  0.085 TO 0.125(III),64000,70400
32067,DIAPEAVS_SIFGH0.075 to 0.084,Diamond,Pear,VS_SI,FGH,0.075 TO 0.084,64000,70400
32068,DIAPEAVS_SIFGH0.085 TO 0.129,Diamond,Pear,VS_SI,FGH,0.085 TO 0.129,64000,70400
32069,DIAPEAVS_SIIJ0.18 TO 0.22,Diamond,Pear,VS_SI,IJ, 0.18 TO 0.22,64000,70400
32070,DIAPEAVS_SIIJ0.18 TO 0.229,Diamond,Pear,VS_SI,IJ,0.18 TO 0.229,64000,70400
32071,DIAPEAVSEF02.01_3CT,Diamond,Pear,VS,EF,02.01_3CT,64000,70400
32072,DIAPEAVVS _ VSEF0.075 TO 0.08 (II),Diamond,Pear,VVS _ VS,EF,0.075 TO 0.08 (II),64000,70400
32073,DIAPEAVVS_VSGH0.075 TO 0.08,Diamond,Pear,VVS_VS,GH,0.075 TO 0.08,64000,70400
32074,DIAPEAVVS_VSGH0.085 _ 0.125(III),Diamond,Pear,VVS_VS,GH,0.085 _ 0.125(III),64000,70400
32075,DIAPEAVVS_VSGH0.085 TO 0.125 (III),Diamond,Pear,VVS_VS,GH,0.085 TO 0.125 (III),64000,70400
32076,DIAPEAVVS_VSGH0.13 TO 0.175(IV),Diamond,Pear,VVS_VS,GH,0.13 TO 0.175(IV),64000,70400
32077,DIAPEAVVS_VSGH0.135 to 0.175 (IV),Diamond,Pear,VVS_VS,GH,0.135 TO 0.175 (IV),64000,70400
32078,DIAPRIVS  SIEF0.50 TO 0.69 (IX),Diamond,Princess,VS,EF,0.50 TO 0.69 (IX),64000,70400
32079,DIAPRIVS _ SIEF0.50 TO 0.69 (IX),Diamond,Princess,VS _ SI,EF,0.50 TO 0.69 (IX),64000,70400
32080,DIAPRIVS_SIFGH0.18 TO 0.22 (V),Diamond,Princess,VS_SI,FGH,0.18 TO 0.22 (V),64000,70400
32081,DIAPRIVVS  VSEF0.50 TO 0.69 (IX),Diamond,Princess,VVS,EF,0.50 TO 0.69 (IX),64000,70400
32082,DIAPRIVVS - VSFG01 CT,Diamond,Princess,VVS_VS,FG,01 CT,64000,70400
32083,DIAPRIVVS _ VSEF0.50 TO 0.69 (IX),Diamond,Princess,VVS _ VS,EF,0.50 TO 0.69 (IX),64000,70400
32084,DIAPRIVVS_VSFG0.085 TO 0.125 (III),Diamond,Princess,VVS_VS,FG,0.085 TO 0.125 (III),64000,70400
32085,DIAPRIVVS_VSFG0.13 TO 0.175,Diamond,Princess,VVS_VS,FG,0.13 TO 0.175,64000,70400
32086,DIAPRIVVS_VSFG0.13 TO 0.175(IV),Diamond,Princess,VVS_VS,FG,0.13 TO 0.175(IV),64000,70400
32087,DIAPRIVVS1EF0.50 TO 0.69 (IX),Diamond,Princess,VVS1,EF,0.50 TO 0.69 (IX),64000,70400
32088,DIARNDVS_SIFGH  0.075 TO 0.080(II),Diamond,Round,VS_SI,FGH,  0.075 TO 0.080(II),64000,70400
32089,DIARNDVS_SIFGH0.135 TO 0.175 (IV),Diamond,Round,VS_SI,FGH,0.135 TO 0.175 (IV),64000,70400
32090,DIARNDVS1EF0.50 TO 0.69(IX),Diamond,Round,VS1,EF,0.50 TO 0.69(IX),64000,70400
32091,DIAEMEVS_SIFGH0.13 TO 0.179,Diamond,Emerald,VS_SI,FGH,0.13 TO 0.179,65000,71500
32092,DIAFANVS_SIFGH0.085 TO 0.129,Diamond,Fancy,VS_SI,FGH,0.085 TO 0.129,65000,71500
32093,DIAFANVVS _ VSEF0.085 TO 0.125 (LLL),Diamond,Fancy,VVS _ VS,EF,0.085 TO 0.125 (LLL),65000,71500
32094,DIAMAQVS_SIHI0.000 TO 0.056 (I),Diamond,Marquise,VS_SI,HI,0.000 TO 0.056 (I),65000,71500
32095,DIAMAQVVS_VSHI0.085 TO 0.125,Diamond,Marquise,VVS_VS,HI,0.085 TO 0.125,65000,71500
32096,DIAMAQVVS_VSIJ0.13 TO 0.175,Diamond,Marquise,VVS_VS,IJ,0.13 TO 0.175,65000,71500
32097,DIAMAQVVSEF02.01_3CT,Diamond,Marquise,VVS,EF,02.01_3CT,65000,71500
32098,DIAOVLVS_SIFGH0.085 TO 0.129,Diamond,Ovel,VS_SI,IJ,0.085 TO 0.129,65000,71500
32099,DIAPEAVS_SIHI0.000 TO 0.056 (I),Diamond,Pear,VS_SI,HI,0.000 TO 0.056 (I),65000,71500
32100,DIAPEAVVS _ VSHI0.085 TO 0.125 (III),Diamond,Pear,VVS _ VS,HI,0.085 TO 0.125 (III),65000,71500
32101,DIAPEAVVS_VSHI0.075 TO 0.08,Diamond,Pear,VVS_VS,HI,0.075 TO 0.08,65000,71500
