stock_type,name,variant_name,karat_color,stock_code,location_name,dept,party,vendor_party,owner_party,pcs,total_weight,net_weight,pg_weight,metal_rate,bom_variant_name,stone_pcs,stone_weight,stone_rate,stock_value,labour_value,wastage
,,,,,,FG-BHSHW,,,,0,0,0,0,0,POLMIXMIXEFMIX,14,0.63,28571.42857,4725,,
,,,,,,FG-BHSHW,,,,0,0,0,0,207.2729533,AG-22KT-YELLOW,0,20.594,0,64672.88275,,
COMPANY STOCK,UPCMATHNGREG-424,UPCMATHNGREG-424-1,"22,YELLOW",SMAT23675,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Mittal Pearls & Jewellery,,1,15.7,10.236,9.41712,0,,0,0,0,0,350,18
,,,,,,FG-BHSHW,,,,0,0,0,0,0,POLMIXMIXEFMIX,4,0.32,68750,2240,,
,,,,,,FG-BHSHW,,,,0,0,0,0,417.0163345,AG-22KT-YELLOW,0,10.236,0,0,,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,SSPMIXMIXMIXMIX1,4,27,12.96296296,2700,,
COMPANY STOCK,UPCMATHNGREG-919,UPCMATHNGREG-919-1,"22,YELLOW",SMAT46501,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Mittal Pearls & Jewellery,Mittal Pearls & Jewellery,1,15.07,14.52,13.3584,0,,0,0,0,0,350,18
,,,,,,FG-BHSHW,,,,0,0,0,0,0,POLMIXMIXMIXMIX,2,0.36,66666.66667,2520,,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,LBDMIXMIXMIXMIX,30,0.54,46296.2963,7830,,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,POLMIXMIXMIXMIX,18,1.53,13071.89542,10710,,
,,,,,,FG-BHSHW,,,,0,0,0,0,293.9792837,AG-22KT-YELLOW,0,14.52,0,0,,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,POLMIXMIXMIXMIX,2,0.32,68750,2240,,
COMPANY STOCK,UPCMATHNGREG-947,UPCMATHNGREG-947-1,"22,YELLOW",SMAT49340,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Mittal Pearls & Jewellery,,1,24.53,20.038,18.43496,0,,0,0,0,0,350,18
,,,,,,FG-BHSHW,,,,0,0,0,0,0,SSPMIXMIXMIXMIX1,10,16.92,20.6855792,1692,,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,RUBMIXMIXREDMIX1,16,3.3,454.5454545,1155,,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,LBDMIXMIXMIXMIX,30,0.38,65789.47368,5510,,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,POLMIXMIXMIXMIX,26,1.86,9677.419355,13020,,
,,,,,,FG-BHSHW,,,,0,0,0,0,213.024214,AG-22KT-YELLOW,0,20.038,0,64465.2517,,
COMPANY STOCK,UPCERNSTDREG-986,UPCERNSTDREG-986-1,"22,YELLOW",SERN51974,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,SK. BILAL (k),SK. BILAL (k),1,9.76,6.692,6.15664,0,,0,0,0,0,350,18
,,,,,,FG-BHSHW,,,,0,0,0,0,0,POLMIXMIXMIXMIX,14,1.44,12500,10080,,
,,,,,,FG-BHSHW,,,,0,0,0,0,637.8630006,AG-22KT-YELLOW,0,6.692,0,0,,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,PATMIXMIXMIXMIX,14,13.9,7.194244604,834,,
COMPANY STOCK,TMCJMKREGREG-333,TMCJMKREGREG-333-1,"22,YELLOW",SJMK23702,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,P Manoharlal Jewellers,P Manoharlal Jewellers,1,11.81,10.61,9.7612,0,,0,0,0,0,250,18
,,,,,,FG-BHSHW,,,,0,0,0,0,0,RBPMIXMIXREDMIX,42,6,250,480,,
,,,,,,FG-BHSHW,,,,0,0,0,0,402.316607,AG-22KT-YELLOW,0,10.61,0,0,,
COMPANY STOCK,ITLCHNREGREG-234,ITLCHNREGREG-234-1,"18,YELLOW",SCHN9661,PMJ&GEMS-B-C-BANJARA HILLS-HO,PHOTOSHOOT,,Royal Chains Pvt Ltd,,1,3.171,3.171,2.40996,0,,0,0,0,0,150,27
,,,,,,PHOTOSHOOT,,,,0,0,0,0,1196.835825,AG-18-YELLOW,0,3.171,0,7134.75,,
COMPANY STOCK,CBTCHNREGREG-347,CBTCHNREGREG-347-1,"22,YELLOW",SCHN12880,PMJ&GEMS-B-C-BANJARA HILLS-HO,PHOTOSHOOT,,I.K.JEWELLERS,,1,24.08,24.08,22.1536,0,,0,0,0,0,1,14
,,,,,,PHOTOSHOOT,,,,0,0,0,0,171.2575415,AG-22KT-YELLOW,0,24.08,0,66460.8,,
COMPANY STOCK,REGMALREGREG-227,REGMALREGREG-227-1,"22,YELLOW",SMAL7788,PMJ&GEMS-B-C-BANJARA HILLS-HO,PHOTOSHOOT,,GOLD STRINGS,,1,48,22.63,20.8196,0,,0,0,0,0,150,18
,,,,,,PHOTOSHOOT,,,,0,0,0,0,0,SSPMIXMIXMIXMIX1,33,126.85,2.759164367,15222,,
,,,,,,PHOTOSHOOT,,,,0,0,0,0,188.6247989,AG-22KT-YELLOW,0,22.63,0,62458.8,,
COMPANY STOCK,REGMALREGREG-46,REGMALREGREG-46-1,"22,YELLOW",SMAL5546,PMJ&GEMS-B-C-BANJARA HILLS-HO,PHOTOSHOOT,,GOLD STRINGS,,1,48.87,27.86,25.6312,0,,0,0,0,0,250,18
,,,,,,PHOTOSHOOT,,,,0,0,0,0,0,SSPMIXMIXMIXMIX1,20,105.05,3.331746787,12606,,
,,,,,,PHOTOSHOOT,,,,0,0,0,0,153.2153338,AG-22KT-YELLOW,0,27.86,0,76893.6,,
