stone_bom_variant,stone_type,stone_shape,stone_quality,stone_color,wt_range,indian_rate_carat,usa_rate_carat
CZSMIXMIXMIXMIX,Cubic Zirconia,Mix,Mix,Mix,Mix,650,715
CZSRNDMIXMIXMIX,Cubic Zirconia,Round,Mix,Mix,Mix,650,715
EMBMIXMIXMIXMIX,Emerald,Mix,Mix,Mix,Mix,800,880
RBBMIXMIXMIXMIX,Ruby Beeds,Mix,Mix,Mix,Mix,650,715
DALMIXMIXMIXMIX,Watch Dail,Mix,Mix,Mix,Mix,680,748
BDSBEAAPINKMIX,Beeds,Mix,Mix,PINK,Mix,700,770
BEAMIXMIXREDMIX,Beeds,Mix,Mix,RED,Mix,350,385
SCTMIXAMIXMIX,Diamond,Mix,Mix,Mix,Mix,10000,11000
OTHMIXMIXCREAMMIX,Ruby,Mix,Mix,Mix,Mix,800,880
ANLMIXMIXMIXMIX,Artificial Nail,Mix,Mix,Mix,Mix,250,275
OTHMIXMIXYELLOWMIX,Ruby,Mix,Mix,Mix,Mix,800,880
RBDMIXMIXREDMIX,Ruby Beeds,Mix,VS,Mix,Mix,800,880
TOBMIXMIXMIXMIX,Tourmaline Beeds,Mix,Mix,Mix,Mix,800,880
ONXMIXMIXREDMIX,Onyx,Mix,Mix,RED,Mix,800,880
RBPMIXMIXMIXMIX,Ruby Pota,Mix,Mix,Mix,Mix,1800,1980
ONXMIXAREDMIX,Onyx,Mix,Mix,RED,Mix,1500,1650
TANMIXMIXBLUEMIX,Tanzanite,Mix,Mix,BLUE,Mix,800,880
ONXMIXMIXGREENMIX,Onyx,Mix,Mix,GREEN,Mix,1500,1650
OTHER STONEMIXMIXMIXMIX,Ruby,Mix,Mix,Mix,Mix,850,935
ONXMIXMIXMIXMIX,Onyx,Mix,Mix,Mix,Mix,1500,1650
OTHMIXMIXMIXMIX,Ruby,Mix,Mix,Mix,Mix,1500,1650
CRBMIXMIXORANGEMIX,Coral Beeds,Mix,Mix,ORANGE,Mix,1200,1320
ONEXMIXAGREENMIX,Onyx,Mix,Mix,GREEN,Mix,850,935
ARTIFICIAL NAILMIXAMIXMIX,Artificial Nail,Mix,Mix,Mix,Mix,1000,1100
ARTMIXMIXMIXMIX,Artificial Nail,Mix,Mix,Mix,Mix,1000,1100
BSRPRLRNDAWHITEMIX,Basara Pearl,Round,Mix,WHITE,Mix,1000,1100
ONXMIXMIXMIXMX,Misc,Mix,Mix,Mix,Mix,1500,1650
EMEMIXMIXGREENMIX,Emerald,Mix,Mix,GREEN,Mix,1500,1650
CORBDSMIXMIXORANGEMIX,Coral,Mix,Mix,ORANGE,Mix,2000,2200
CUSTMIXAMIXMIX,Customer Stone,Mix,A,Mix,Mix,1000,1100
OTHMIXMIXMIXMX,Ruby,Mix,VS,Mix,Mix,1500,1650
DRPMIXMIXMIXMIX,Drop,Mix,Mix,Mix,Mix,600,660
OTHMIXMIXWHITEMIX,Ruby,Mix,Mix,Mix,Mix,1200,1320
RUBMIXMIXMIXMIX,Ruby,Mix,Mix,Mix,Mix,1200,1320
RUBMIXAREDMIX,Ruby,Mix,Mix,RED,Mix,1800,1980
ONEXMIXMIXREDMIX,Onyx,Mix,Mix,RED,Mix,1500,1650
OTHMIXMIXMIXRED,Ruby,Mix,Mix,Mix,Mix,250,275
BSRPRLMIXMIXMIXMIX,Basara Pearl,Mix,Mix,Mix,Mix,1500,1650
RUBPOTMIXAREDMIX,Ruby Pota,Mix,Mix,RED,Mix,1500,1650
OTHMIXMIXRED,Ruby,Mix,Mix,Mix,Mix,1500,1650
EMEMIXMIXREDMIX,Emerald,Mix,Mix,RED,Mix,1500,1650
EMEMIXVSMIXMIX,Emerald,Mix,VS,Mix,Mix,1500,1650
EMEPOTMIXAGREENMIX,Emerald Pota,Mix,Mix,GREEN,Mix,1500,1650
EMESPLMIXAGREENMIX,Emerald,Mix,Mix,GREEN,Mix,1500,1650
EMPMIXMIXREDMIX,Emerald,Mix,Mix,RED,Mix,1500,1650
ONXMIXAMIXMIX,Onyx,Mix,Mix,Mix,Mix,1500,1650
ONXMIXVVS-VSGH0.000 TO 0.056 (I),Onyx,Mix,VVS_VS,GH,0.000 TO 0.056,1500,1650
ONYXMIXMIXMIXMIX,Onyx,Mix,Mix,Mix,Mix,1500,1650
OTHMIXMIXBLACKMIX,Ruby,Mix,Mix,Mix,Mix,1500,1650
OTHMIXMIXGREENMIX,Ruby,Mix,Mix,Mix,Mix,1500,1650
OTHMIXVSFGHMIX,Ruby,Mix,Mix,Mix,Mix,1500,1650
OTSMIXAMIXMIX,Misc,Mix,Mix,Mix,Mix,1500,1650
OTSMIXAREDMIX,Misc,Mix,Mix,RED,Mix,1500,1650
RUBMIXMIXGREENMIX,Ruby,Mix,Mix,GREEN,Mix,1500,1650
SAPMIXVVSEFMIX,Sapphire,Mix,VVS,EF,Mix,1500,1650
SEMIMIXAMIXMIX,Misc,Mix,Mix,Mix,Mix,1500,1650
RUBDRPMIXAREDMIX,Ruby Drop,Mix,Mix,RED,Mix,1500,1650
BLUSHPMIXMIXBLUEMIX,Blue Sapphire,Mix,Mix,BLUE,Mix,1500,1650
TANMIXMIXMIXMIX,Tanzanite,Mix,Mix,Mix,Mix,1500,1650
CLRMIXMIXMIXMIX,Coral,Mix,Mix,Mix,Mix,1500,1650
OTHMIXMIXPINKMIX,Ruby,Mix,Mix,Mix,Mix,1500,1650
ONXMIXVS-SIIJMIX,Onyx,Mix,VS_SI,IJ,Mix,1500,1650
OTHMIXMIXREDMIX,Ruby,Mix,Mix,RED,Mix,1500,1650
RUBYMIXMIXPINKMIX,Ruby,Mix,Mix,PINK,Mix,1800,1980
RUBYMIXMIXREDMIX,Ruby,Mix,Mix,RED,Mix,1800,1980
EMPMIXMIXMIXMIX,Emerald Pota,Mix,Mix,Mix,Mix,1800,1980
CRLMIXMIXORANGEMIX,Coral,Mix,Mix,ORANGE,Mix,2500,2750
EMBMIXMIXGREENMIX,Emerald Beeds,Mix,Mix,GREEN,Mix,3500,3850
RUBBDSMIXAREDMIX,Ruby Beeds,Mix,Mix,RED,Mix,2000,2200
TANMIXVSGHMIX,Tanzanite,Mix,VS,GH,Mix,2000,2200
CORMIXAORANGEMIX,Coral,Mix,Mix,ORANGE,Mix,2500,2750
CRLMIXMIXMIXMIX,Coral,Mix,Mix,Mix,Mix,350,385
CSDMIXMIXEFMIX,Diamond,Mix,Mix,EF,Mix,2500,2750
DIACUSTMIXMIXMIXEFMIX,Customer Stone,Mix,Mix,EF,Mix,2500,2750
NAVMIXMIXMIXMIX,Navaratan,Mix,Mix,Mix,Mix,1500,1650
NAVTMIXAMIXMIX,Navaratan,Mix,Mix,Mix,Mix,2500,2750
SAPMIXVVS-VSGH0.000 TO 0.056 (I),Sapphire,Mix,VVS_VS,GH,0.000 TO 0.056,2500,2750
TOUMIXMIXMIXMIX,Tourmaline,Mix,Mix,Mix,Mix,2500,2750
CSDMIXVVSEF0.000 TO 0.056,Diamond,Mix,VVS,EF,0.000 TO 0.056,2500,2750
CORMIXMIXORANGEMIX,Coral,Mix,Mix,ORANGE,Mix,850,935
EMEMIXAGREENMIX,Emerald,Mix,Mix,GREEN,Mix,3500,3850
EMDMIXMIXGREENMIX,Emerald,Mix,Mix,GREEN,Mix,2500,2750
CLSMIXMIXMIXMIX,Colour Stone,Mix,Mix,Mix,Mix,3000,3300
EMPMIXMIXGREENMIX,Emerald,Mix,Mix,GREEN,Mix,3000,3300
OTHMIXMIXBLUEMIX,Ruby,Mix,Mix,Mix,Mix,3000,3300
TOUMIXMIXBLUEMIX,Tourmaline,Mix,Mix,BLUE,Mix,3400,3740
EMBCPIMIXMIXGREENMIX,Emerald Beeds,Mix,VS,Mix,Mix,3000,3300
RBPMIXMIXREDMIX,Ruby Pota,Mix,Mix,RED,Mix,1500,1650
RUBMIXMIXREDMIX,Ruby,Mix,Mix,RED,Mix,3200,3520
EMDMIXMIXMIXMIX,Emerald,Mix,VS,Mix,Mix,3500,3850
RUBMIXMIXREGMIX,Ruby,Mix,Mix,Mix,Mix,3500,3850
BKDMIXMIXMIXMIX,Black Diamond Stone,Mix,Mix,Mix,Mix,3800,4180
BKDMIXMIXBLACKMIX,Black Diamond Stone,Mix,Mix,BLACK,Mix,3800,4180
BLKDIARNDABLACKMIX,Black Diamond Stone,Round,Mix,BLACK,Mix,3800,4180
CTEMIXMIXMIXMIX,Cats Eye,Mix,Mix,Mix,Mix,650,715
BRBMIXMIXMIXMIX,Burma Ruby,Mix,Mix,Mix,Mix,3500,3850
BRBMIXMIXREDMIX,Burma Ruby,Mix,Mix,RED,Mix,4000,4400
CHAMIXMIXMIXMIX,Chakri,Mix,Mix,Mix,Mix,5500,6050
BLUSHPMIXABLUEMIX,Blue Sapphire,Mix,Mix,BLUE,Mix,5000,5500
RUBMIXAREREDMIX,Ruby,Mix,Mix,RED,Mix,5000,5500
SAPMIXMIXWHITEMIX,Sapphire,Mix,Mix,WHITE,Mix,5000,5500
WSHPMIXAWHITEMIX,White Sapphire,Mix,Mix,WHITE,Mix,5000,5500
CHAMIXMIXEFMIX,Chakri,Mix,Mix,Mix,Mix,8000,8800
WCKMIXMIXEFMIX,Chakri,Mix,Mix,EF,Mix,8000,8800
